codConceptoVentas;idVenta;concepto;cantidad;precioUnitario;subTotal
ccv-1;afe8abed-12ca-4e69-b6c5-e53d0f0c50b8;Ron Flor de Caña;1;75;75
ccv-2;c377eab9-026f-4bef-9665-a57595f505a0;Coca Cola 3L;1;14;14
ccv-3;c377eab9-026f-4bef-9665-a57595f505a0;Sprite 3L;1;14;14
ccv-4;07211e6e-1e80-4011-b7a1-03f9f1bbb2153;Vino Santa Ana;1;35;35
ccv-5;77f3f66b-fb10-4a41-b192-5348ee150751;Latas Taquiña 473ml;12;5;60
ccv-6;b36a251d-7440-43a1-8b54-21a99ce13f63;Caja Paceña;1;130;130
ccv-7;fb63c2b3-7703-42c0-a50a-5484cef77313;Singani Caso Real Azul;1;35;35
ccv-8;967c64be-709b-447f-a4e7-8731619874c9;Paquete corona lata 350ml;1;60;60
ccv-9;8783970a-d3df-4791-8285-b012d15e5957;Vodka Barkov 1L;1;45;45
ccv-10;8783970a-d3df-4791-8285-b012d15e5957;Sprite 3L;1;14;14
ccv-11;8c9e2a84-66ff-4aa0-9f70-2a2d6e5a1c71;Caja Baltica 473ml;1;150;150
ccv-12;27024769-271b-4ea5-b10e-4e7620e31ae7;Vino Santa Ana;1;35;35
ccv-13;e5722dd7-c6ff-4f99-8f81-2cc566d97174;Sixpack Paceña Lata;1;50;50
ccv-14;35c86152-f60b-42ad-900c-4d374cc52d98;Agua Vital 990ml;2;6;12
ccv-15;2aa26ce0-a3a7-4f87-acfb-91d7ad29ff72;Hir Miel;1;10;10
ccv-16;4643bab0-f86f-4cb4-b408-a3681911b55f;Ron Carta Vieja;1;60;60
ccv-17;ff9f6e5d-65e1-43cb-b7c9-34116645102e;Vino Santa Ana;1;35;35
ccv-18;9721b101-f037-40a7-825c-1907c08b9157;Sixpack Baltica;1;36;36
ccv-19;ae21166d-6ff1-4ca0-9968-5dfd82b1de04;Taquiña 473ml;4;5;20
ccv-20;c81bf8fe-1224-4896-9cd2-482f933fd551;Burguesa 473ml;2;8;16
ccv-21;c81bf8fe-1224-4896-9cd2-482f933fd551;Corona Botellin;2;10;20
ccv-22;15ff652c-5bb4-41a0-b1dd-157964bb8400;Pepsi 3L;1;11;11
ccv-23;3428b753-6731-4839-807d-1ef079969610;Sixpack Baltica;1;40;40
ccv-24;4b2c4677-ace9-426d-b87f-798432b5bfd4;Combo Ron Flor de Caña;1;90;90
ccv-25;4b2c4677-ace9-426d-b87f-798432b5bfd4;Bolsa Hielo 2K;1;5;5
ccv-26;9ee44cff-6b97-4b6e-b4fe-f81c44605660;Sixpack Corona;1;70;70
ccv-27;5cb6d328-cbf3-4075-ade9-650d83a6d344;Fernet Branco 3/4;1;65;65
ccv-28;101c2107-b183-4081-81a7-8257a004de0a;Four Loke 695ml;1;35;35
ccv-29;5bb40f31-3135-498b-8061-c32cc905dc6a;Cajetilla Boham Marula;1;12;12
ccv-30;eaef21eb-c18a-4c6c-b375-ad3f33c9372c;Machucada Chicle;1;10;10
ccv-31;b9336ca0-f762-47de-9b5d-8d350161c330;Burguesa 473ml;6;7;42
ccv-32;25c2aeba-575a-44dc-9cb0-60004ddeca82;Sprite 2L;2;10;20
ccv-33;25c2aeba-575a-44dc-9cb0-60004ddeca82;Casa Real Azul;1;40;40
ccv-34;9aa71e9c-26f4-4bd5-a3a7-0f02dd1907c2;Sixpack Baltica;1;39;39
ccv-35;e6cacea4-fbf2-4180-9fa6-0e90ecab6856;Sixpack Baltica;1;39;39
ccv-36;89ded2db-5f01-4b8e-973a-01e526ecd149;Baltica 440ml;4;6,5;26
ccv-37;432bb994-e9e7-4a13-a305-788cb44d0c9f;Taquiña Chica 440ml;10;5;50
ccv-38;e2aafa29-7abe-46c7-b8a3-f28717b52b10;Combo Ron Flor de Caña;1;80;80
ccv-39;91b38063-ded6-4ac1-8120-4f5cdc21b488;Burguesa 473ml;6;7,5;45
ccv-40;183b4130-873e-413b-a551-8a3808c01eb3;Combo Fernet Branco + Pepsi;1;83;83
ccv-41;27b903a5-c337-4796-ac1c-6b459f84e64e;Sixpack Baltica;1;36;36
ccv-42;bf61fa1c-474d-4e83-9a98-b3386c8ca82b;Paquete Coca Cola 3L;1;80;80
ccv-43;e6f556de-941c-4510-a7f8-4e7ae88c316b;Sixpack Corona Botellin;1;65;65
ccv-44;2650912d-02b0-49eb-a750-06afe17be752;Vino;1;25;25
ccv-45;2650912d-02b0-49eb-a750-06afe17be752;Fanta 3L;1;14;14
ccv-46;ff7b70d1-5464-470d-a6f2-7a6477784531;Paceña Lata 330ml;6;7;42
ccv-47;0d9663c7-2e29-42e5-940b-3f2863f4ccb3;Pack Burguesa 473ml;1;80;80
ccv-48;ed807643-caae-4267-b714-82ef39f742b1;Vino Turuno;1;22;22
ccv-49;72b8a3e6-570f-4cc2-b10d-f28954493944;Potosina Lata 473ml;2;8;16
ccv-50;72b8a3e6-570f-4cc2-b10d-f28954493944;Cajetilla Camel peq;1;10;10
ccv-51;97efdd7b-d437-4795-8bee-fac8a268089a;Fernet Branca 1L;1;90;90
